transaction_id,transaction_date,customer_id,product_category,product_name,quantity,unit_price,revenue,store_location
TXN00002889,2025-03-04 22:09:24.992431,CUST000596,Accessories,Wireless Charger,2,1290,2580,Central Festival Phuket
TXN00002900,2025-03-04 22:09:24.993875,CUST000889,Food,Croissant,1,95,95,Central Chiang Mai
TXN00002981,2025-03-04 22:09:25.004875,CUST000459,Beverage,Green Tea,3,85,255,Siam Paragon
TXN00003046,2025-03-04 22:09:25.013452,CUST000284,Smartphone,OPPO Reno8,1,15990,15990,Central Festival Phuket
TXN00003059,2025-03-04 22:09:25.015154,CUST000388,Smartphone,iPhone 14,1,32900,32900,Central Festival Phuket
TXN00003267,2025-03-04 22:09:25.043071,CUST000010,Smartphone,iPhone 14,1,32900,32900,Central Chiang Mai
TXN00003420,2025-03-04 22:09:25.063329,CUST000789,Beverage,Green Tea,1,85,85,Terminal 21
TXN00003428,2025-03-04 22:09:25.064381,CUST000288,Smartphone,Samsung Galaxy S23,1,28900,28900,Central Chiang Mai
TXN00003498,2025-03-04 22:09:25.073553,CUST000317,Accessories,Wireless Charger,2,1290,2580,Central Chiang Mai
TXN00003503,2025-03-04 22:09:25.074213,CUST000350,Accessories,Phone Case,1,390,390,Central Festival Phuket
TXN00003603,2025-03-04 22:09:25.087480,CUST000210,Coffee,Latte,3,115,345,Siam Paragon
TXN00003604,2025-03-04 22:09:25.087615,CUST000149,Accessories,Screen Protector,1,290,290,Central World
TXN00003734,2025-03-04 22:09:25.104943,CUST000085,Smartphone,iPhone 14,1,32900,32900,Siam Paragon
TXN00003800,2025-03-04 22:09:25.113542,CUST000056,Coffee,Americano,1,95,95,Central Festival Phuket
TXN00003887,2025-03-04 22:09:25.124937,CUST000575,Accessories,Screen Protector,3,290,870,Central Chiang Mai
TXN00003978,2025-03-04 22:09:25.137106,CUST000317,Accessories,Phone Case,2,390,780,Siam Paragon
TXN00003984,2025-03-04 22:09:25.137911,CUST000667,Coffee,Latte,2,115,230,Central World
TXN00004021,2025-03-04 22:09:25.142786,CUST000489,Coffee,Americano,3,95,285,Central Chiang Mai
TXN00004024,2025-03-04 22:09:25.143182,CUST000590,Coffee,Latte,1,115,115,Central Chiang Mai
TXN00004061,2025-03-04 22:09:25.148028,CUST000957,Accessories,Phone Case,1,390,390,Central Chiang Mai
TXN00004184,2025-03-04 22:09:25.164176,CUST000031,Food,Croissant,2,95,190,Central Festival Phuket
TXN00004430,2025-03-04 22:09:25.197106,CUST000620,Accessories,Phone Case,1,390,390,Central Festival Phuket
TXN00004438,2025-03-04 22:09:25.198206,CUST000753,Accessories,Phone Case,1,390,390,Central Festival Phuket
TXN00004470,2025-03-04 22:09:25.202813,CUST000876,Accessories,Screen Protector,2,290,580,Siam Paragon
TXN00004519,2025-03-04 22:09:25.209862,CUST000768,Food,Sandwich,1,145,145,Siam Paragon
TXN00004606,2025-03-04 22:09:25.221790,CUST000112,Coffee,Cappuccino,1,110,110,Central Festival Phuket
TXN00004728,2025-03-04 22:09:25.238141,CUST000131,Smartphone,OPPO Reno8,1,15990,15990,Siam Paragon
TXN00004900,2025-03-04 22:09:25.261102,CUST000024,Coffee,Americano,1,95,95,Terminal 21
TXN00004926,2025-03-04 22:09:25.264553,CUST000935,Accessories,Screen Protector,1,290,290,Central World
TXN00005128,2025-03-04 22:09:25.291640,CUST000115,Smartphone,Samsung Galaxy S23,1,28900,28900,Terminal 21
TXN00005159,2025-03-04 22:09:25.296310,CUST000162,Smartphone,Samsung Galaxy S23,1,28900,28900,Central Festival Phuket
TXN00005301,2025-03-04 22:09:25.316318,CUST000946,Beverage,Green Tea,1,85,85,Central World
TXN00005381,2025-03-04 22:09:25.327570,CUST000495,Food,Croissant,1,95,95,Central Festival Phuket
TXN00005399,2025-03-04 22:09:25.330311,CUST000756,Beverage,Green Tea,1,85,85,Central Chiang Mai
TXN00005432,2025-03-04 22:09:25.335140,CUST000418,Food,Croissant,1,95,95,Siam Paragon
TXN00005469,2025-03-04 22:09:25.340056,CUST000821,Coffee,Latte,1,115,115,Central World
TXN00005507,2025-03-04 22:09:25.345020,CUST000795,Food,Croissant,1,95,95,Siam Paragon
TXN00005565,2025-03-04 22:09:25.352640,CUST000925,Food,Sandwich,1,145,145,MBK Center
TXN00005630,2025-03-04 22:09:25.361103,CUST000881,Smartphone,Samsung Galaxy S23,1,28900,28900,Central World
TXN00005636,2025-03-04 22:09:25.361876,CUST000186,Coffee,Cappuccino,2,110,220,MBK Center
TXN00005739,2025-03-04 22:09:25.375367,CUST000621,Coffee,Cappuccino,3,110,330,Central World
TXN00005826,2025-03-04 22:09:25.386930,CUST000849,Accessories,Phone Case,1,390,390,Siam Paragon
TXN00005841,2025-03-04 22:09:25.388893,CUST000570,Smartphone,OPPO Reno8,1,15990,15990,Central World
TXN00005845,2025-03-04 22:09:25.389408,CUST000984,Food,Croissant,2,95,190,Central Festival Phuket
TXN00005975,2025-03-04 22:09:25.407238,CUST000099,Beverage,Green Tea,2,85,170,Siam Paragon
TXN00005986,2025-03-04 22:09:25.409280,CUST000422,Coffee,Latte,2,115,230,Central World
TXN00006009,2025-03-04 22:09:25.413862,CUST000789,Smartphone,OPPO Reno8,1,15990,15990,MBK Center
TXN00006035,2025-03-04 22:09:25.417384,CUST000754,Coffee,Cappuccino,1,110,110,MBK Center
TXN00006050,2025-03-04 22:09:25.419445,CUST000984,Smartphone,OPPO Reno8,1,15990,15990,Central Festival Phuket
TXN00006081,2025-03-04 22:09:25.423692,CUST000534,Beverage,Green Tea,1,85,85,Central World
TXN00006225,2025-03-04 22:09:25.443468,CUST000583,Coffee,Cappuccino,3,110,330,Terminal 21
TXN00006308,2025-03-04 22:09:25.455244,CUST000012,Food,Sandwich,1,145,145,Central Chiang Mai
TXN00006383,2025-03-04 22:09:25.465409,CUST000745,Accessories,Wireless Charger,1,1290,1290,Siam Paragon
TXN00006461,2025-03-04 22:09:25.478099,CUST000833,Coffee,Americano,1,95,95,Central Festival Phuket
TXN00006532,2025-03-04 22:09:25.489787,CUST000607,Food,Croissant,1,95,95,Central Festival Phuket
TXN00006558,2025-03-04 22:09:25.493320,CUST000161,Coffee,Cappuccino,1,110,110,Central Chiang Mai
TXN00006664,2025-03-04 22:09:25.508110,CUST000066,Coffee,Latte,1,115,115,Terminal 21
TXN00006672,2025-03-04 22:09:25.509150,CUST000809,Accessories,Phone Case,2,390,780,Terminal 21
TXN00006738,2025-03-04 22:09:25.518324,CUST000520,Accessories,Phone Case,1,390,390,Terminal 21
TXN00006759,2025-03-04 22:09:25.521099,CUST000586,Food,Croissant,1,95,95,Terminal 21
TXN00006779,2025-03-04 22:09:25.523720,CUST000224,Coffee,Americano,1,95,95,Central Chiang Mai
TXN00006867,2025-03-04 22:09:25.535659,CUST000305,Accessories,Screen Protector,1,290,290,Central World
TXN00006868,2025-03-04 22:09:25.535788,CUST000447,Accessories,Phone Case,1,390,390,Central Festival Phuket
TXN00007021,2025-03-04 22:09:25.556501,CUST000042,Accessories,Wireless Charger,2,1290,2580,Central Chiang Mai
TXN00007046,2025-03-04 22:09:25.559950,CUST000825,Food,Croissant,1,95,95,Terminal 21
TXN00007054,2025-03-04 22:09:25.561050,CUST000047,Accessories,Screen Protector,1,290,290,Central World
TXN00007190,2025-03-04 22:09:25.579054,CUST000052,Smartphone,OPPO Reno8,1,15990,15990,Central World
TXN00007191,2025-03-04 22:09:25.579191,CUST000116,Smartphone,OPPO Reno8,1,15990,15990,MBK Center
TXN00007311,2025-03-04 22:09:25.595193,CUST000599,Accessories,Wireless Charger,1,1290,1290,Central Festival Phuket
TXN00007318,2025-03-04 22:09:25.596122,CUST000741,Accessories,Phone Case,1,390,390,Central World
TXN00007352,2025-03-04 22:09:25.600890,CUST000120,Food,Croissant,1,95,95,Central Chiang Mai
TXN00007441,2025-03-04 22:09:25.612660,CUST000331,Food,Sandwich,1,145,145,Siam Paragon
TXN00007461,2025-03-04 22:09:25.615300,CUST000795,Beverage,Green Tea,1,85,85,Terminal 21
TXN00007477,2025-03-04 22:09:25.617434,CUST000585,Accessories,Screen Protector,1,290,290,Central Festival Phuket
TXN00007559,2025-03-04 22:09:25.628121,CUST000367,Coffee,Americano,1,95,95,Central World
TXN00007561,2025-03-04 22:09:25.628377,CUST000207,Food,Sandwich,1,145,145,Central Chiang Mai
TXN00007567,2025-03-04 22:09:25.629160,CUST000648,Accessories,Phone Case,2,390,780,Terminal 21
TXN00007599,2025-03-04 22:09:25.633339,CUST000501,Beverage,Green Tea,1,85,85,Siam Paragon
TXN00007641,2025-03-04 22:09:25.638811,CUST000380,Coffee,Cappuccino,2,110,220,Central Festival Phuket
TXN00007700,2025-03-04 22:09:25.646513,CUST000505,Coffee,Americano,1,95,95,MBK Center
TXN00007730,2025-03-04 22:09:25.650438,CUST000224,Food,Croissant,1,95,95,Central Festival Phuket
TXN00007756,2025-03-04 22:09:25.653835,CUST000838,Coffee,Americano,1,95,95,Central Festival Phuket
TXN00007812,2025-03-04 22:09:25.661138,CUST000462,Accessories,Wireless Charger,2,1290,2580,Central Chiang Mai
TXN00007960,2025-03-04 22:09:25.680532,CUST000723,Accessories,Phone Case,3,390,1170,Siam Paragon
TXN00007964,2025-03-04 22:09:25.681060,CUST000497,Beverage,Green Tea,1,85,85,Central Chiang Mai
TXN00007983,2025-03-04 22:09:25.683570,CUST000240,Coffee,Latte,1,115,115,Central Festival Phuket
TXN00008022,2025-03-04 22:09:25.688767,CUST000925,Food,Croissant,1,95,95,Siam Paragon
TXN00008049,2025-03-04 22:09:25.692298,CUST000474,Coffee,Latte,2,115,230,Siam Paragon
TXN00008226,2025-03-04 22:09:25.715795,CUST000791,Accessories,Wireless Charger,1,1290,1290,Siam Paragon
TXN00008282,2025-03-04 22:09:25.723136,CUST000193,Smartphone,iPhone 14,1,32900,32900,Terminal 21
TXN00008310,2025-03-04 22:09:25.726805,CUST000135,Coffee,Latte,1,115,115,Central Festival Phuket
TXN00008311,2025-03-04 22:09:25.726941,CUST000931,Beverage,Green Tea,1,85,85,Central World
TXN00008365,2025-03-04 22:09:25.734236,CUST000316,Accessories,Screen Protector,1,290,290,Central World
TXN00008367,2025-03-04 22:09:25.734512,CUST000778,Smartphone,Samsung Galaxy S23,1,28900,28900,Siam Paragon
TXN00008373,2025-03-04 22:09:25.735326,CUST000083,Food,Sandwich,1,145,145,Siam Paragon
TXN00008392,2025-03-04 22:09:25.737838,CUST000233,Food,Sandwich,1,145,145,MBK Center
TXN00008412,2025-03-04 22:09:25.740463,CUST000792,Smartphone,OPPO Reno8,1,15990,15990,Central Chiang Mai
TXN00008455,2025-03-04 22:09:25.746150,CUST000517,Food,Sandwich,2,145,290,Central Chiang Mai
TXN00008467,2025-03-04 22:09:25.747739,CUST000788,Smartphone,OPPO Reno8,1,15990,15990,Central Festival Phuket
TXN00008570,2025-03-04 22:09:25.761339,CUST000793,Smartphone,Samsung Galaxy S23,1,28900,28900,Central Festival Phuket
TXN00008785,2025-03-04 22:09:25.789322,CUST000640,Smartphone,Samsung Galaxy S23,1,28900,28900,Central Chiang Mai
TXN00008803,2025-03-04 22:09:25.791679,CUST000810,Beverage,Green Tea,1,85,85,Siam Paragon
TXN00008832,2025-03-04 22:09:25.795466,CUST000457,Accessories,Wireless Charger,2,1290,2580,Central Festival Phuket
TXN00008905,2025-03-04 22:09:25.804979,CUST000313,Smartphone,Samsung Galaxy S23,1,28900,28900,Central World
TXN00008983,2025-03-04 22:09:25.815673,CUST000933,Food,Croissant,1,95,95,Terminal 21
TXN00008994,2025-03-04 22:09:25.817134,CUST000723,Accessories,Phone Case,3,390,1170,Terminal 21
TXN00009020,2025-03-04 22:09:25.820570,CUST000199,Coffee,Americano,2,95,190,MBK Center
TXN00009025,2025-03-04 22:09:25.821229,CUST000581,Smartphone,OPPO Reno8,1,15990,15990,Terminal 21
TXN00009099,2025-03-04 22:09:25.831010,CUST000378,Food,Croissant,1,95,95,Terminal 21
TXN00009117,2025-03-04 22:09:25.833392,CUST000872,Smartphone,Samsung Galaxy S23,1,28900,28900,Terminal 21
TXN00009134,2025-03-04 22:09:25.835746,CUST000469,Smartphone,iPhone 14,1,32900,32900,Terminal 21
TXN00009236,2025-03-04 22:09:25.850009,CUST000161,Smartphone,OPPO Reno8,1,15990,15990,Central Festival Phuket
TXN00009325,2025-03-04 22:09:25.861867,CUST000324,Food,Sandwich,2,145,290,Central Festival Phuket
TXN00009398,2025-03-04 22:09:25.871475,CUST000087,Food,Croissant,1,95,95,Central World
TXN00009425,2025-03-04 22:09:25.875022,CUST000196,Accessories,Screen Protector,2,290,580,Terminal 21
TXN00009430,2025-03-04 22:09:25.875676,CUST000527,Smartphone,iPhone 14,1,32900,32900,MBK Center
TXN00009446,2025-03-04 22:09:25.877760,CUST000485,Accessories,Phone Case,1,390,390,MBK Center
TXN00009460,2025-03-04 22:09:25.879616,CUST000343,Smartphone,Samsung Galaxy S23,1,28900,28900,MBK Center
TXN00009655,2025-03-04 22:09:25.905718,CUST000151,Food,Croissant,1,95,95,Central Chiang Mai
TXN00009686,2025-03-04 22:09:25.909762,CUST000990,Smartphone,Samsung Galaxy S23,1,28900,28900,MBK Center
TXN00009687,2025-03-04 22:09:25.909891,CUST000607,Food,Sandwich,1,145,145,Central Festival Phuket
TXN00009691,2025-03-04 22:09:25.910414,CUST000202,Coffee,Cappuccino,1,110,110,Central Festival Phuket
TXN00009815,2025-03-04 22:09:25.927030,CUST000642,Smartphone,Samsung Galaxy S23,1,28900,28900,Siam Paragon
TXN00009926,2025-03-04 22:09:25.942464,CUST000287,Smartphone,OPPO Reno8,1,15990,15990,MBK Center
TXN00000534,2025-03-05 22:09:24.659059,CUST000675,Coffee,Cappuccino,3,110,330,Central Festival Phuket
TXN00002439,2025-03-05 22:09:24.932220,CUST000317,Coffee,Latte,1,115,115,Central Festival Phuket
TXN00002447,2025-03-05 22:09:24.933320,CUST000700,Coffee,Latte,1,115,115,MBK Center
TXN00006390,2025-03-06 22:09:25.466563,CUST000657,Beverage,Green Tea,1,85,85,Central World
TXN00001053,2025-03-07 22:09:24.743753,CUST000383,Smartphone,OPPO Reno8,1,15990,15990,Terminal 21
TXN00003432,2025-03-08 22:09:25.064908,CUST000668,Coffee,Americano,1,95,95,Central World
TXN00003641,2025-03-08 22:09:25.092703,CUST000146,Smartphone,Samsung Galaxy S23,1,28900,28900,Central World
TXN00001642,2025-03-09 22:09:24.822541,CUST000698,Accessories,Screen Protector,1,290,290,MBK Center
TXN00001187,2025-03-10 22:09:24.761676,CUST000468,Beverage,Green Tea,1,85,85,Siam Paragon
TXN00002481,2025-03-10 22:09:24.938008,CUST000991,Beverage,Green Tea,1,85,85,Central Chiang Mai
TXN00003951,2025-03-10 22:09:25.133547,CUST000346,Coffee,Americano,1,95,95,Central Festival Phuket
TXN00003481,2025-03-11 22:09:25.071334,CUST000628,Accessories,Screen Protector,1,290,290,Central Festival Phuket
TXN00006622,2025-03-12 22:09:25.502471,CUST000239,Food,Croissant,1,95,95,MBK Center
TXN00003714,2025-03-13 22:09:25.102292,CUST000173,Smartphone,Samsung Galaxy S23,1,28900,28900,Central World
TXN00004285,2025-03-13 22:09:25.177852,CUST000649,Smartphone,Samsung Galaxy S23,1,28900,28900,Central World
TXN00000535,2025-03-14 22:09:24.659196,CUST000170,Beverage,Green Tea,2,85,170,MBK Center
TXN00002652,2025-03-14 22:09:24.960789,CUST000186,Food,Croissant,1,95,95,Central Festival Phuket
TXN00007736,2025-03-14 22:09:25.651235,CUST000999,Smartphone,Samsung Galaxy S23,1,28900,28900,Central Festival Phuket
TXN00009919,2025-03-14 22:09:25.941519,CUST000262,Beverage,Green Tea,1,85,85,Siam Paragon
TXN00002674,2025-03-15 22:09:24.963692,CUST000228,Beverage,Green Tea,1,85,85,Terminal 21
TXN00006602,2025-03-15 22:09:25.499787,CUST000398,Smartphone,OPPO Reno8,1,15990,15990,Central Chiang Mai
TXN00000322,2025-03-16 22:09:24.629563,CUST000414,Accessories,Wireless Charger,2,1290,2580,Central Chiang Mai
TXN00000671,2025-03-16 22:09:24.679701,CUST000553,Smartphone,iPhone 14,1,32900,32900,MBK Center
TXN00003637,2025-03-17 22:09:25.091932,CUST000876,Coffee,Cappuccino,2,110,220,MBK Center
TXN00007949,2025-03-17 22:09:25.679066,CUST000584,Coffee,Americano,3,95,285,Central Chiang Mai
TXN00009736,2025-03-17 22:09:25.916497,CUST000823,Coffee,Americano,1,95,95,Siam Paragon
TXN00003745,2025-03-18 22:09:25.106378,CUST000979,Accessories,Phone Case,3,390,1170,Siam Paragon
TXN00005332,2025-03-18 22:09:25.320494,CUST000602,Accessories,Screen Protector,3,290,870,Central Festival Phuket
TXN00005250,2025-03-19 22:09:25.309297,CUST000063,Food,Sandwich,1,145,145,Central Festival Phuket
TXN00000355,2025-03-20 22:09:24.634656,CUST000467,Food,Croissant,1,95,95,MBK Center
TXN00002175,2025-03-20 22:09:24.895925,CUST000548,Food,Sandwich,1,145,145,Siam Paragon
TXN00002497,2025-03-21 22:09:24.940214,CUST000787,Food,Croissant,1,95,95,Terminal 21
TXN00006067,2025-03-22 22:09:25.421790,CUST000592,Beverage,Green Tea,2,85,170,Central Chiang Mai
TXN00006825,2025-03-22 22:09:25.529715,CUST000594,Accessories,Wireless Charger,1,1290,1290,MBK Center
TXN00003410,2025-03-24 22:09:25.062027,CUST000832,Accessories,Screen Protector,1,290,290,Central World
TXN00005647,2025-03-27 22:09:25.363299,CUST000626,Beverage,Green Tea,1,85,85,Siam Paragon
TXN00000137,2025-03-28 22:09:24.596740,CUST000768,Beverage,Green Tea,1,85,85,Central Chiang Mai
TXN00001364,2025-03-28 22:09:24.785456,CUST000364,Smartphone,iPhone 14,1,32900,32900,MBK Center
TXN00001569,2025-03-29 22:09:24.812879,CUST000919,Smartphone,Samsung Galaxy S23,1,28900,28900,Terminal 21
TXN00004691,2025-03-29 22:09:25.233197,CUST000022,Coffee,Cappuccino,1,110,110,Central Chiang Mai
TXN00006745,2025-03-29 22:09:25.519240,CUST000224,Accessories,Screen Protector,2,290,580,Central World
TXN00009999,2025-03-29 22:09:25.952259,CUST000011,Coffee,Cappuccino,1,110,110,Central Chiang Mai
TXN00009909,2025-03-30 22:09:25.940178,CUST000428,Smartphone,OPPO Reno8,1,15990,15990,Central Chiang Mai
TXN00000782,2025-03-31 22:09:24.696712,CUST000569,Coffee,Americano,1,95,95,MBK Center
TXN00002820,2025-03-31 22:09:24.983311,CUST000705,Beverage,Green Tea,1,85,85,Central World
TXN00008537,2025-03-31 22:09:25.757035,CUST000075,Coffee,Cappuccino,1,110,110,Central Festival Phuket
TXN00007153,2025-04-01 22:09:25.574231,CUST000991,Smartphone,Samsung Galaxy S23,1,28900,28900,Central Chiang Mai
TXN00000701,2025-04-02 22:09:24.685589,CUST000391,Beverage,Green Tea,1,85,85,MBK Center
TXN00001324,2025-04-03 22:09:24.780197,CUST000587,Coffee,Latte,1,115,115,Central Chiang Mai
TXN00001768,2025-04-04 22:09:24.839911,CUST000257,Food,Croissant,1,95,95,Terminal 21
TXN00004058,2025-04-04 22:09:25.147639,CUST000725,Beverage,Green Tea,1,85,85,Central World
TXN00005203,2025-04-04 22:09:25.302297,CUST000804,Accessories,Wireless Charger,3,1290,3870,Central World
TXN00005430,2025-04-04 22:09:25.334869,CUST000382,Beverage,Green Tea,1,85,85,Central World
TXN00009860,2025-04-04 22:09:25.933229,CUST000312,Coffee,Americano,1,95,95,Central Chiang Mai
TXN00000022,2025-04-06 22:09:24.578696,CUST000068,Food,Sandwich,1,145,145,Central Festival Phuket
TXN00006064,2025-04-06 22:09:25.421376,CUST000586,Smartphone,iPhone 14,1,32900,32900,Central World
TXN00007079,2025-04-06 22:09:25.564325,CUST000157,Food,Sandwich,1,145,145,Siam Paragon
TXN00003276,2025-04-07 22:09:25.044296,CUST000035,Smartphone,iPhone 14,1,32900,32900,Central Festival Phuket
TXN00004002,2025-04-07 22:09:25.140271,CUST000243,Accessories,Phone Case,2,390,780,Central Chiang Mai
TXN00001215,2025-04-08 22:09:24.765666,CUST000213,Coffee,Americano,1,95,95,Central World
TXN00001693,2025-04-08 22:09:24.829615,CUST000435,Beverage,Green Tea,1,85,85,Central Festival Phuket
TXN00003268,2025-04-08 22:09:25.043203,CUST000260,Smartphone,Samsung Galaxy S23,1,28900,28900,Siam Paragon
TXN00004065,2025-04-08 22:09:25.148546,CUST000691,Smartphone,iPhone 14,1,32900,32900,Terminal 21
TXN00002911,2025-04-09 22:09:24.995606,CUST000578,Accessories,Phone Case,1,390,390,Terminal 21
TXN00005292,2025-04-09 22:09:25.315085,CUST000751,Food,Croissant,1,95,95,Central Chiang Mai
TXN00005807,2025-04-09 22:09:25.384406,CUST000471,Accessories,Phone Case,1,390,390,Terminal 21
TXN00007578,2025-04-09 22:09:25.630592,CUST000534,Smartphone,OPPO Reno8,1,15990,15990,Central World
TXN00009001,2025-04-09 22:09:25.818053,CUST000107,Food,Sandwich,3,145,435,MBK Center
TXN00005830,2025-04-10 22:09:25.387452,CUST000566,Coffee,Americano,1,95,95,Central Chiang Mai
TXN00009143,2025-04-10 22:09:25.836965,CUST000775,Smartphone,iPhone 14,1,32900,32900,Terminal 21
TXN00002484,2025-04-11 22:09:24.938429,CUST000979,Smartphone,OPPO Reno8,1,15990,15990,Central Chiang Mai
TXN00003830,2025-04-11 22:09:25.117430,CUST000404,Coffee,Americano,1,95,95,Central Festival Phuket
TXN00006363,2025-04-11 22:09:25.462650,CUST000564,Smartphone,OPPO Reno8,1,15990,15990,Central World
TXN00008271,2025-04-11 22:09:25.721699,CUST000021,Smartphone,iPhone 14,1,32900,32900,Central World
TXN00000466,2025-04-12 22:09:24.649968,CUST000380,Smartphone,Samsung Galaxy S23,1,28900,28900,Central World
TXN00000498,2025-04-12 22:09:24.654227,CUST000790,Food,Sandwich,1,145,145,Central World
TXN00000568,2025-04-12 22:09:24.663751,CUST000107,Food,Sandwich,1,145,145,Siam Paragon
TXN00002292,2025-04-12 22:09:24.911834,CUST000838,Coffee,Americano,2,95,190,MBK Center
TXN00005073,2025-04-12 22:09:25.284182,CUST000379,Smartphone,Samsung Galaxy S23,1,28900,28900,Central Festival Phuket
TXN00005883,2025-04-12 22:09:25.394438,CUST000405,Food,Croissant,1,95,95,MBK Center
TXN00008821,2025-04-12 22:09:25.794039,CUST000961,Coffee,Cappuccino,1,110,110,MBK Center
TXN00009390,2025-04-12 22:09:25.870435,CUST000704,Beverage,Green Tea,2,85,170,MBK Center
TXN00008581,2025-04-13 22:09:25.762772,CUST000057,Smartphone,Samsung Galaxy S23,1,28900,28900,MBK Center
TXN00005689,2025-04-14 22:09:25.368802,CUST000708,Food,Croissant,3,95,285,Central Chiang Mai
TXN00006299,2025-04-14 22:09:25.454052,CUST000387,Smartphone,iPhone 14,1,32900,32900,Terminal 21
TXN00001020,2025-04-15 22:09:24.739248,CUST000774,Smartphone,iPhone 14,1,32900,32900,Siam Paragon
TXN00007472,2025-04-15 22:09:25.616773,CUST000692,Coffee,Americano,2,95,190,Central Chiang Mai
TXN00000509,2025-04-16 22:09:24.655702,CUST000776,Food,Sandwich,1,145,145,MBK Center
